trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
148179433,14,10/1/2020 0:06,10/1/2020 0:20,3042,34.049301,-118.238808,3074,34.04417,-118.261169,6378,30,One Way,Monthly Pass,standard
148179933,18,10/1/2020 0:25,10/1/2020 0:43,4404,34.04813,-118.271027,4444,34.061619,-118.305573,12440,30,One Way,Monthly Pass,standard
148182639,141,10/1/2020 0:29,10/1/2020 2:50,4482,34.094372,-118.331009,4482,34.094372,-118.331009,19803,1,Round Trip,Walk-up,electric
148182739,141,10/1/2020 0:29,10/1/2020 2:50,4482,34.094372,-118.331009,4482,34.094372,-118.331009,18915,1,Round Trip,Walk-up,electric
148180233,15,10/1/2020 0:42,10/1/2020 0:57,3074,34.04417,-118.261169,3042,34.049301,-118.238808,20062,30,One Way,Monthly Pass,standard
148180834,40,10/1/2020 0:44,10/1/2020 1:24,4302,34.092491,-118.291443,4302,34.092491,-118.291443,17163,30,Round Trip,Monthly Pass,electric
148180833,24,10/1/2020 0:58,10/1/2020 1:22,3078,34.064281,-118.238937,4478,34.10424,-118.273697,16777,1,One Way,Walk-up,electric
148181033,9,10/1/2020 1:25,10/1/2020 1:34,3005,34.0485,-118.258537,4491,34.04744,-118.24794,19985,30,One Way,Monthly Pass,standard
148181934,23,10/1/2020 1:48,10/1/2020 2:11,4302,34.092491,-118.291443,4302,34.092491,-118.291443,17163,30,Round Trip,Monthly Pass,electric
148181933,22,10/1/2020 1:50,10/1/2020 2:12,4314,34.057709,-118.279762,4390,34.069271,-118.296593,6008,1,One Way,Walk-up,standard
148188740,249,10/1/2020 3:18,10/1/2020 7:27,3005,34.0485,-118.258537,3062,34.047749,-118.243172,6210,1,One Way,Walk-up,standard
148186335,17,10/1/2020 5:21,10/1/2020 5:38,4480,34.05896,-118.250587,3011,34.04113,-118.267982,16997,30,One Way,Monthly Pass,electric
148186133,8,10/1/2020 5:21,10/1/2020 5:29,4480,34.05896,-118.250587,3005,34.0485,-118.258537,20064,30,One Way,Monthly Pass,standard
148186333,7,10/1/2020 5:30,10/1/2020 5:37,3005,34.0485,-118.258537,3011,34.04113,-118.267982,19687,30,One Way,Monthly Pass,electric
148186734,21,10/1/2020 5:38,10/1/2020 5:59,3011,34.04113,-118.267982,4480,34.05896,-118.250587,18873,30,One Way,Monthly Pass,electric
148186733,13,10/1/2020 5:46,10/1/2020 5:59,3011,34.04113,-118.267982,4480,34.05896,-118.250587,16997,30,One Way,Monthly Pass,electric
148188333,17,10/1/2020 6:49,10/1/2020 7:06,3027,34.04998,-118.247162,3027,34.04998,-118.247162,6636,365,Round Trip,Annual Pass,standard
148188633,20,10/1/2020 7:04,10/1/2020 7:24,4419,34.165218,-118.355148,4419,34.165218,-118.355148,16257,1,Round Trip,Walk-up,smart
148188933,7,10/1/2020 7:28,10/1/2020 7:35,3077,34.039871,-118.250038,3005,34.0485,-118.258537,5901,30,One Way,Monthly Pass,standard
148189135,13,10/1/2020 7:34,10/1/2020 7:47,4401,34.075611,-118.291862,4410,34.063351,-118.296799,5993,30,One Way,Monthly Pass,standard
148189033,3,10/1/2020 7:38,10/1/2020 7:41,3033,34.040989,-118.255798,3074,34.04417,-118.261169,6329,30,One Way,Monthly Pass,standard
148189341,14,10/1/2020 7:42,10/1/2020 7:56,4476,34.08252,-118.27272,4303,34.098011,-118.287071,6472,30,One Way,Monthly Pass,standard
148189340,12,10/1/2020 7:45,10/1/2020 7:57,4473,34.07159,-118.282288,4478,34.10424,-118.273697,19819,30,One Way,Monthly Pass,electric
148189537,18,10/1/2020 7:47,10/1/2020 8:05,4410,34.063351,-118.296799,4401,34.075611,-118.291862,16716,30,One Way,Monthly Pass,electric
148189334,5,10/1/2020 7:52,10/1/2020 7:57,3042,34.049301,-118.238808,3027,34.04998,-118.247162,20062,30,One Way,Monthly Pass,standard
148189635,14,10/1/2020 7:55,10/1/2020 8:09,3014,34.05661,-118.237213,3037,34.034801,-118.231277,12178,30,One Way,Monthly Pass,standard
148189935,26,10/1/2020 7:57,10/1/2020 8:23,3035,34.048401,-118.260948,4387,34.03352,-118.241837,20154,30,One Way,Monthly Pass,standard
