"trip_id","duration","start_time","end_time","start_station","start_lat","start_lon","end_station","end_lat","end_lon","bike_id","plan_duration","trip_route_category","passholder_type","bike_type"
118571839,7,"2019-04-01 00:02:00","2019-04-01 00:09:00",3069,34.050880,-118.248253,3034,34.042061,-118.263382,"06459",1,"One Way","Walk-up","standard"
118574695,12,"2019-04-01 00:56:00","2019-04-01 01:08:00",3031,34.044701,-118.252441,4311,34.059689,-118.294662,12229,30,"One Way","Monthly Pass","standard"
118575167,12,"2019-04-01 01:06:00","2019-04-01 01:18:00",3038,34.046822,-118.248352,3082,34.046520,-118.237411,"06422",1,"One Way","Walk-up","standard"
118577060,48,"2019-04-01 01:08:00","2019-04-01 01:56:00",3068,34.053200,-118.250954,3005,34.048500,-118.258537,12211,30,"One Way","Monthly Pass","standard"
118575166,9,"2019-04-01 01:09:00","2019-04-01 01:18:00",3038,34.046822,-118.248352,3082,34.046520,-118.237411,12005,1,"One Way","Walk-up","standard"
118703308,1440,"2019-04-01 01:11:00","2019-04-02 14:48:00",3027,34.049980,-118.247162,3027,34.049980,-118.247162,"06491",1,"Round Trip","Walk-up","standard"
118577296,11,"2019-04-01 01:50:00","2019-04-01 02:01:00",3082,34.046520,-118.237411,3067,34.045181,-118.250237,"06209",1,"One Way","Walk-up","standard"
118577295,10,"2019-04-01 01:51:00","2019-04-01 02:01:00",3082,34.046520,-118.237411,3067,34.045181,-118.250237,"05905",1,"One Way","Walk-up","standard"
118584196,3,"2019-04-01 04:24:00","2019-04-01 04:27:00",3006,34.045540,-118.256668,3005,34.048500,-118.258537,"06214",30,"One Way","Monthly Pass","standard"
118585147,3,"2019-04-01 04:44:00","2019-04-01 04:47:00",3031,34.044701,-118.252441,3063,34.048038,-118.253738,12266,30,"One Way","Monthly Pass","standard"
118585860,4,"2019-04-01 04:56:00","2019-04-01 05:00:00",3014,34.056610,-118.237213,3016,34.052898,-118.241562,"06679",30,"One Way","Monthly Pass","standard"
118588000,6,"2019-04-01 05:38:00","2019-04-01 05:44:00",3014,34.056610,-118.237213,3030,34.051941,-118.243530,12062,30,"One Way","Monthly Pass","standard"
118588474,9,"2019-04-01 05:46:00","2019-04-01 05:55:00",3042,34.049301,-118.238808,3036,34.039188,-118.232529,"06152",30,"One Way","Monthly Pass","standard"
118590376,9,"2019-04-01 06:28:00","2019-04-01 06:37:00",3014,34.056610,-118.237213,3078,34.064281,-118.238937,"06177",365,"One Way","Annual Pass","standard"
118591090,4,"2019-04-01 06:49:00","2019-04-01 06:53:00",3014,34.056610,-118.237213,3016,34.052898,-118.241562,12391,30,"One Way","Monthly Pass","standard"
118591778,14,"2019-04-01 06:51:00","2019-04-01 07:05:00",4220,34.074829,-118.258728,3007,34.050480,-118.254593,12311,365,"One Way","Annual Pass","standard"
