trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type,start station name,end station name
156741791,1440,4/1/2021 9:03,4/2/2021 10:52,4540,34.04776,-118.22541,3000,,,6284,1,One Way,Walk-up,standard,1st & Utah,Virtual Station
156651458,43,4/1/2021 9:04,4/1/2021 9:47,4390,34.069271,-118.296593,4390,34.069271,-118.296593,15679,1,Round Trip,One Day Pass,standard,Kenmore & 3rd,Kenmore & 3rd
156650911,18,4/1/2021 9:06,4/1/2021 9:24,4202,33.991161,-118.468292,4555,34.005871,-118.429161,16036,30,One Way,Monthly Pass,standard,Abbot Kinney & Cadiz,Venice & Inglewood
156650901,13,4/1/2021 9:11,4/1/2021 9:24,4302,34.092491,-118.291443,4410,34.063351,-118.296799,19998,365,One Way,Annual Pass,standard,Vermont Pl & Vermont,Kenmore & 6th
156650688,1,4/1/2021 9:13,4/1/2021 9:14,4567,34.02018,-118.40403,4567,34.02018,-118.40403,16038,1,Round Trip,Walk-up,standard,Venice & Motor,Venice & Motor
156651011,11,4/1/2021 9:19,4/1/2021 9:30,4212,33.988129,-118.471741,4209,33.996239,-118.477448,13275,30,One Way,Monthly Pass,standard,Windward & Main,Rose & Main
156651111,11,4/1/2021 9:21,4/1/2021 9:32,3082,34.04652,-118.237411,3005,34.0485,-118.258537,6067,30,One Way,Monthly Pass,standard,Traction & Rose,7th & Flower
156654056,38,4/1/2021 9:24,4/1/2021 10:02,4482,34.094372,-118.331009,4406,34.101891,-118.300613,19011,1,One Way,One Day Pass,electric,Wilcox & Fountain,Normandie & Hollywood
156651004,3,4/1/2021 9:24,4/1/2021 9:27,4482,34.094372,-118.331009,4482,34.094372,-118.331009,12194,1,Round Trip,One Day Pass,standard,Wilcox & Fountain,Wilcox & Fountain
156654048,37,4/1/2021 9:27,4/1/2021 10:04,4482,34.094372,-118.331009,4406,34.101891,-118.300613,16914,1,One Way,One Day Pass,electric,Wilcox & Fountain,Normandie & Hollywood
156651625,22,4/1/2021 9:31,4/1/2021 9:53,4209,33.996239,-118.477448,4209,33.996239,-118.477448,13275,30,Round Trip,Monthly Pass,standard,Rose & Main,Rose & Main
156651087,1,4/1/2021 9:32,4/1/2021 9:33,4569,34.02655,-118.408463,4569,34.02655,-118.408463,16121,1,Round Trip,Walk-up,standard,Palms & Motor,Palms & Motor
156654866,70,4/1/2021 9:33,4/1/2021 10:43,4555,34.005871,-118.429161,3031,34.044701,-118.252441,19823,30,One Way,Monthly Pass,electric,Venice & Inglewood,7th & Spring
156651407,16,4/1/2021 9:34,4/1/2021 9:50,4497,34.15749,-118.39576,4420,34.168629,-118.377068,15296,365,One Way,Annual Pass,smart,Riverside & Laurel Canyon,North Hollywood Station
156651860,25,4/1/2021 9:35,4/1/2021 10:00,4518,34.057968,-118.299751,4482,34.094372,-118.331009,6132,30,One Way,Monthly Pass,standard,Normandie & 8th,Wilcox & Fountain
156651848,15,4/1/2021 9:44,4/1/2021 9:59,4215,34.014309,-118.491341,4214,33.99556,-118.481552,15122,30,One Way,Monthly Pass,standard,Downtown Santa Monica E Line Station,Ocean Front Walk & Navy
156651832,10,4/1/2021 9:46,4/1/2021 9:56,4301,34.099049,-118.291496,4453,34.082649,-118.284393,6712,365,One Way,Annual Pass,standard,Maubert & Vermont,Lucile & Hoover
156651601,8,4/1/2021 9:47,4/1/2021 9:55,3075,34.04211,-118.256187,4491,34.04744,-118.24794,20192,365,One Way,Annual Pass,standard,Broadway & 9th,Main & Winston
156654005,13,4/1/2021 9:48,4/1/2021 10:01,4300,34.04887,-118.2743,3063,34.048038,-118.253738,6127,1,One Way,Walk-up,standard,Union & Olympic,Pershing Square
156654101,16,4/1/2021 9:50,4/1/2021 10:06,3016,34.052898,-118.241562,3042,34.049301,-118.238808,17099,30,One Way,Monthly Pass,electric,Los Angeles & Temple,1st & Central
156651803,10,4/1/2021 9:50,4/1/2021 10:00,4417,34.164951,-118.363632,4420,34.168629,-118.377068,15199,30,One Way,Monthly Pass,smart,Magnolia & Cartwright,North Hollywood Station
156654197,20,4/1/2021 9:52,4/1/2021 10:12,4275,34.01252,-118.285896,4300,34.04887,-118.2743,19803,30,One Way,Monthly Pass,electric,Expo Park/LAFC,Union & Olympic
156662003,144,4/1/2021 9:56,4/1/2021 12:20,4544,33.928459,-118.435204,4544,33.928459,-118.435204,15312,1,Round Trip,Walk-up,standard,Dockweiler Beach at Imperial Hwy,Dockweiler Beach at Imperial Hwy
156662002,143,4/1/2021 9:57,4/1/2021 12:20,4544,33.928459,-118.435204,4544,33.928459,-118.435204,12431,1,Round Trip,Walk-up,standard,Dockweiler Beach at Imperial Hwy,Dockweiler Beach at Imperial Hwy
156653990,6,4/1/2021 9:57,4/1/2021 10:03,4300,34.04887,-118.2743,3011,34.04113,-118.267982,6659,30,One Way,Monthly Pass,standard,Union & Olympic,Figueroa & Pico
156654614,38,4/1/2021 9:57,4/1/2021 10:35,4211,33.984928,-118.469963,4215,34.014309,-118.491341,16917,1,One Way,One Day Pass,electric,Pacific & North Venice,Downtown Santa Monica E Line Station
156654401,27,4/1/2021 9:57,4/1/2021 10:24,4211,33.984928,-118.469963,4211,33.984928,-118.469963,16069,1,Round Trip,Walk-up,standard,Pacific & North Venice,Pacific & North Venice
156653988,3,4/1/2021 10:00,4/1/2021 10:03,4267,34.027618,-118.280678,4273,34.02586,-118.284103,19985,30,One Way,Monthly Pass,standard,28th & University,Hoover & 32nd
156653987,3,4/1/2021 10:01,4/1/2021 10:04,4313,34.056808,-118.275002,4315,34.054031,-118.27092,16367,30,One Way,Monthly Pass,electric,Westlake/Macarthur Park Station,Union & 7th
156654397,20,4/1/2021 10:01,4/1/2021 10:21,3032,34.049889,-118.255882,3008,34.046612,-118.262733,6299,1,One Way,Walk-up,standard,Hope & 6th,Figueroa & 9th
156654396,18,4/1/2021 10:03,4/1/2021 10:21,3032,34.049889,-118.255882,3008,34.046612,-118.262733,12354,1,One Way,Walk-up,standard,Hope & 6th,Figueroa & 9th
156654087,2,4/1/2021 10:04,4/1/2021 10:06,4315,34.054031,-118.27092,3052,34.051102,-118.264557,17002,30,One Way,Monthly Pass,electric,Union & 7th,7th & Bixel
156654605,28,4/1/2021 10:04,4/1/2021 10:32,4406,34.101891,-118.300613,4482,34.094372,-118.331009,17163,1,One Way,One Day Pass,electric,Normandie & Hollywood,Wilcox & Fountain
156654606,28,4/1/2021 10:04,4/1/2021 10:32,4406,34.101891,-118.300613,4482,34.094372,-118.331009,19011,1,One Way,One Day Pass,electric,Normandie & Hollywood,Wilcox & Fountain
156654190,8,4/1/2021 10:05,4/1/2021 10:13,4562,34.02697,-118.428207,4570,34.01376,-118.417801,15204,30,One Way,Monthly Pass,standard,Sepulveda & National,Sepulveda & Venice
156665468,228,4/1/2021 10:05,4/1/2021 13:53,4473,34.07159,-118.282288,4473,34.07159,-118.282288,16960,30,Round Trip,Monthly Pass,electric,Vendome & Beverly,Vendome & Beverly
156661987,126,4/1/2021 10:08,4/1/2021 12:14,4210,33.984341,-118.47155,4210,33.984341,-118.47155,15735,1,Round Trip,Walk-up,standard,Ocean Front Walk & North Venice,Ocean Front Walk & North Venice
156661988,126,4/1/2021 10:08,4/1/2021 12:14,4210,33.984341,-118.47155,4210,33.984341,-118.47155,15793,1,Round Trip,Walk-up,standard,Ocean Front Walk & North Venice,Ocean Front Walk & North Venice
