trip_id,duration,start_time,end_time,start_station,start_lat,start_lon,end_station,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type,bike_type
124676413,3,7/1/2019 6:44,7/1/2019 6:47,3062,34.047749,-118.243172,3069,34.05088,-118.248253,12111,365,One Way,Annual Pass,standard
124676645,5,7/1/2019 6:47,7/1/2019 6:52,3014,34.05661,-118.237213,3030,34.051941,-118.24353,6498,30,One Way,Monthly Pass,standard
124676644,4,7/1/2019 6:48,7/1/2019 6:52,3014,34.05661,-118.237213,3016,34.052898,-118.241562,6017,30,One Way,Monthly Pass,standard
124676643,5,7/1/2019 6:49,7/1/2019 6:54,3014,34.05661,-118.237213,3030,34.051941,-118.24353,6012,30,One Way,Monthly Pass,standard
124676874,6,7/1/2019 6:50,7/1/2019 6:56,3029,34.048851,-118.246422,3022,34.04607,-118.233093,12241,30,One Way,Monthly Pass,standard
124677342,16,7/1/2019 6:50,7/1/2019 7:06,3023,34.050911,-118.240967,3019,34.038609,-118.260857,11988,30,One Way,Monthly Pass,standard
124676642,3,7/1/2019 6:51,7/1/2019 6:54,3019,34.038609,-118.260857,3056,34.03746,-118.265381,17585,30,One Way,Monthly Pass,electric
124677339,14,7/1/2019 6:53,7/1/2019 7:07,4220,34.074829,-118.258728,3007,34.05048,-118.254593,6253,365,One Way,Annual Pass,standard
124677338,10,7/1/2019 6:55,7/1/2019 7:05,3027,34.04998,-118.247162,3022,34.04607,-118.233093,6293,30,One Way,Monthly Pass,standard
124677104,5,7/1/2019 6:58,7/1/2019 7:03,3014,34.05661,-118.237213,3030,34.051941,-118.24353,12074,30,One Way,Monthly Pass,standard
124678045,19,7/1/2019 7:01,7/1/2019 7:20,3078,34.064281,-118.238937,3054,34.039219,-118.236488,5943,30,One Way,Monthly Pass,standard
124678746,34,7/1/2019 7:01,7/1/2019 7:35,4372,34.027882,-118.388901,4285,,,15948,365,One Way,Walk-up,smart
124678044,19,7/1/2019 7:03,7/1/2019 7:22,3027,34.04998,-118.247162,3027,34.04998,-118.247162,16523,30,Round Trip,Monthly Pass,electric
124677574,6,7/1/2019 7:06,7/1/2019 7:12,3067,34.045181,-118.250237,3030,34.051941,-118.24353,6244,30,One Way,Monthly Pass,standard
124677811,13,7/1/2019 7:06,7/1/2019 7:19,3014,34.05661,-118.237213,3048,34.041691,-118.235352,17488,30,One Way,Monthly Pass,electric
124677571,5,7/1/2019 7:07,7/1/2019 7:12,3014,34.05661,-118.237213,3030,34.051941,-118.24353,12338,30,One Way,Monthly Pass,standard
124677570,3,7/1/2019 7:09,7/1/2019 7:12,3042,34.049301,-118.238808,3016,34.052898,-118.241562,5737,30,One Way,Monthly Pass,standard
124677807,4,7/1/2019 7:13,7/1/2019 7:17,3014,34.05661,-118.237213,3016,34.052898,-118.241562,12053,30,One Way,Monthly Pass,standard
124678035,10,7/1/2019 7:13,7/1/2019 7:23,3026,34.063179,-118.24588,3005,34.0485,-118.258537,6117,30,One Way,Monthly Pass,standard
124678734,25,7/1/2019 7:14,7/1/2019 7:39,4300,34.04887,-118.2743,3005,34.0485,-118.258537,18937,30,One Way,Monthly Pass,electric
124677806,3,7/1/2019 7:15,7/1/2019 7:18,3042,34.049301,-118.238808,3030,34.051941,-118.24353,6717,30,One Way,Monthly Pass,standard
124678265,12,7/1/2019 7:15,7/1/2019 7:27,4293,34.062279,-118.271523,3005,34.0485,-118.258537,17783,365,One Way,Annual Pass,electric
124678979,26,7/1/2019 7:16,7/1/2019 7:42,4249,34.020302,-118.281181,3023,34.050911,-118.240967,18187,30,One Way,Monthly Pass,electric
124679220,30,7/1/2019 7:17,7/1/2019 7:47,4246,34.023708,-118.279167,3032,34.049889,-118.255882,12232,1,One Way,Walk-up,standard
124678033,4,7/1/2019 7:20,7/1/2019 7:24,3031,34.044701,-118.252441,3032,34.049889,-118.255882,18530,365,One Way,Annual Pass,electric
124678263,4,7/1/2019 7:23,7/1/2019 7:27,3014,34.05661,-118.237213,3030,34.051941,-118.24353,5787,30,One Way,Monthly Pass,standard
